Total Visits,Unique Visitors,Avg Session Duration,Bounce Rate,Journeys Per Session,Avg Time on Journey,Most Visited Journey,Journey Steps,Time on Step,TDA Clicks,RFO Clicks,Conversion Rate,Lead Conversion Rate,Document Downloads,Purchases,Feedback Score,Search Query Frequency,Search Result CTR,Social Shares,Page Load Time,Error Rates,User Demographics,Behavioral Segment,Date
934.0,1044.0,3.75,40.22,5.0,3.33,Brandportal,inventory-check.skoda-model-1,1.24,tda.skoda-model-2,rfo.skoda-model-3,7.83,0.7,167.0,17.0,4.9,new car models,44.82,45.0,2.0,0.06,"18-24, Female",Returning Visitor,2023-01-06
979.0,986.0,6.6,27.61,3.0,4.85,Car Configurator,inventory-check.skoda-model-2,2.69,tda.skoda-model-3,rfo.skoda-model-1,8.1,4.36,180.0,27.0,3.2,dealership locations,40.02,62.0,3.8,0.05,"18-24, Female",Returning Visitor,2023-01-26
1067.0,749.0,9.58,58.27,2.0,1.44,Car Configurator,inventory-check.skoda-model-2,4.94,tda.skoda-model-2,rfo.skoda-model-2,5.62,3.93,196.0,17.0,3.7,dealership locations,38.34,40.0,3.67,0.04,"18-24, Female",New Visitor,2023-01-18
1211.0,754.0,5.11,30.45,2.0,1.14,Brandportal,inventory-check.booking,2.01,tda.skoda-model-3,rfo.skoda-model-3,5.48,3.75,94.0,7.0,4.7,car pricing,45.84,90.0,3.28,0.06,"25-34, Male",New Visitor,2023-01-09
1035.0,1177.0,6.28,58.03,3.0,1.35,Brandportal,inventory-check.skoda-model-1,3.37,tda.skoda-model-2,rfo.skoda-model-2,2.81,2.84,98.0,13.0,4.2,dealership locations,48.81,66.0,3.2,0.05,"25-34, Male",Frequent Buyer,2023-01-09
1176.0,1057.0,7.73,65.68,4.0,3.12,Brandportal,car-configurator.step-1,5.0,tda.skoda-model-2,rfo.skoda-model-2,7.85,2.66,179.0,11.0,3.2,dealership locations,32.48,65.0,1.01,0.08,"25-34, Male",Returning Visitor,2023-01-29
1384.0,710.0,7.82,67.13,2.0,3.94,Dealer Search,car-configurator.step-2,1.66,tda.skoda-model-3,rfo.skoda-model-1,7.47,3.61,86.0,27.0,4.2,dealership locations,35.34,41.0,2.19,0.04,"18-24, Female",Returning Visitor,2023-01-21
1156.0,1194.0,6.52,59.38,4.0,1.47,Inventory Check,brandportal.skoda-model-1,3.8,tda.skoda-model-2,rfo.skoda-model-3,5.11,4.4,191.0,11.0,4.5,dealership locations,40.59,81.0,1.9,0.05,"25-34, Male",Frequent Buyer,2023-01-07
1439.0,1093.0,5.78,35.53,4.0,3.71,Car Configurator,dealer-search.finish,3.62,tda.skoda-model-3,rfo.skoda-model-1,9.97,4.05,52.0,20.0,3.1,dealership locations,33.63,40.0,1.06,0.09,"25-34, Male",Returning Visitor,2023-01-07
941.0,736.0,6.41,39.0,3.0,3.11,Dealer Search,car-configurator.finish,1.56,tda.skoda-model-3,rfo.skoda-model-2,6.09,1.57,185.0,19.0,4.0,car pricing,20.36,91.0,1.06,0.1,"18-24, Female",Returning Visitor,2023-01-21
918.0,904.0,9.47,44.06,3.0,4.37,Brandportal,inventory-check.skoda-model-1,3.3,tda.skoda-model-1,rfo.skoda-model-2,2.49,1.65,132.0,29.0,3.5,car pricing,38.43,70.0,1.71,0.03,"35-44, Female",New Visitor,2023-01-21
901.0,747.0,4.76,45.33,5.0,3.2,Car Configurator,dealer-search.finish,2.51,tda.skoda-model-2,rfo.skoda-model-1,6.04,4.86,103.0,6.0,3.8,dealership locations,30.79,68.0,3.6,0.06,"18-24, Female",Frequent Buyer,2023-01-18
864.0,727.0,7.55,68.84,3.0,3.03,Car Configurator,inventory-check.booking,2.93,tda.skoda-model-3,rfo.skoda-model-2,3.41,4.68,94.0,12.0,4.5,new car models,29.97,85.0,3.86,0.05,"18-24, Female",Returning Visitor,2023-01-14
1044.0,1118.0,4.89,63.14,1.0,4.17,Dealer Search,dealer-search.finish,2.58,tda.skoda-model-1,rfo.skoda-model-1,1.5,4.61,173.0,16.0,4.7,car pricing,41.63,69.0,1.34,0.07,"18-24, Female",Frequent Buyer,2023-01-15
1471.0,921.0,6.85,45.97,3.0,1.62,Car Configurator,car-configurator.start,4.41,tda.skoda-model-1,rfo.skoda-model-2,2.56,2.27,120.0,10.0,3.7,new car models,23.85,63.0,1.24,0.05,"35-44, Female",New Visitor,2023-01-15
1473.0,1172.0,5.01,63.92,3.0,1.97,Dealer Search,inventory-check.skoda-model-1,1.55,tda.skoda-model-3,rfo.skoda-model-1,6.68,4.84,164.0,16.0,4.3,car pricing,27.6,47.0,2.17,0.08,"18-24, Female",Returning Visitor,2023-01-02
1382.0,835.0,7.75,52.06,4.0,2.23,Dealer Search,dealer-search.finish,2.37,tda.skoda-model-2,rfo.skoda-model-1,8.27,4.74,146.0,26.0,4.2,car pricing,39.06,68.0,3.72,0.1,"25-34, Male",Returning Visitor,2023-01-04
1445.0,1197.0,9.44,48.98,5.0,1.44,Dealer Search,inventory-check.booking,2.9,tda.skoda-model-1,rfo.skoda-model-2,3.89,2.31,125.0,22.0,4.3,dealership locations,31.21,79.0,1.22,0.09,"18-24, Female",New Visitor,2023-01-04
1500.0,819.0,6.66,31.13,2.0,4.43,Brandportal,car-configurator.finish,3.22,tda.skoda-model-3,rfo.skoda-model-3,3.97,0.91,111.0,18.0,3.8,car pricing,38.65,70.0,3.23,0.05,"25-34, Male",Frequent Buyer,2023-01-21
1256.0,783.0,4.33,20.14,2.0,2.26,Inventory Check,dealer-search.dealer-1,2.86,tda.skoda-model-2,rfo.skoda-model-1,3.19,2.19,61.0,16.0,3.4,car pricing,33.19,65.0,3.4,0.04,"35-44, Female",New Visitor,2023-01-20
1373.0,1010.0,8.84,28.96,2.0,4.31,Brandportal,brandportal.skoda-model-2,2.2,tda.skoda-model-3,rfo.skoda-model-3,3.26,1.52,65.0,25.0,4.9,new car models,42.62,75.0,1.75,0.03,"35-44, Female",New Visitor,2023-01-28
831.0,827.0,9.69,67.37,3.0,2.52,Dealer Search,inventory-check.skoda-model-2,3.41,tda.skoda-model-2,rfo.skoda-model-3,9.79,4.06,179.0,9.0,3.3,new car models,22.74,74.0,2.82,0.07,"25-34, Male",Returning Visitor,2023-01-24
1013.0,750.0,9.52,32.02,3.0,1.5,Brandportal,inventory-check.skoda-model-1,1.93,tda.skoda-model-3,rfo.skoda-model-3,1.19,0.8,151.0,20.0,4.5,new car models,40.05,90.0,3.34,0.07,"35-44, Female",Frequent Buyer,2023-01-09
1260.0,947.0,7.23,53.71,1.0,3.71,Dealer Search,brandportal.finish,4.52,tda.skoda-model-2,rfo.skoda-model-1,7.94,2.62,158.0,20.0,3.2,dealership locations,37.81,70.0,2.76,0.03,"25-34, Male",Returning Visitor,2023-01-10
1050.0,1140.0,9.87,51.85,2.0,3.45,Inventory Check,car-configurator.finish,2.36,tda.skoda-model-1,rfo.skoda-model-1,9.95,3.68,149.0,19.0,3.9,dealership locations,29.89,49.0,1.44,0.04,"35-44, Female",Returning Visitor,2023-01-23
1253.0,831.0,7.4,57.9,3.0,2.91,Dealer Search,car-configurator.start,4.22,tda.skoda-model-3,rfo.skoda-model-1,4.02,3.76,192.0,16.0,4.0,new car models,30.35,56.0,2.11,0.03,"18-24, Female",Returning Visitor,2023-01-20
881.0,890.0,5.0,38.66,3.0,1.97,Car Configurator,inventory-check.skoda-model-1,5.0,tda.skoda-model-2,rfo.skoda-model-1,3.8,1.72,75.0,30.0,4.1,car pricing,45.37,73.0,1.72,0.02,"35-44, Female",New Visitor,2023-01-09
1484.0,762.0,5.63,67.7,4.0,3.66,Car Configurator,brandportal.skoda-model-2,3.95,tda.skoda-model-3,rfo.skoda-model-3,7.17,2.91,156.0,11.0,4.2,new car models,40.91,47.0,3.42,0.07,"25-34, Male",New Visitor,2023-01-01
1159.0,966.0,9.31,65.18,4.0,1.69,Inventory Check,dealer-search.dealer-2,2.96,tda.skoda-model-3,rfo.skoda-model-3,4.03,4.16,151.0,24.0,4.0,car pricing,33.75,93.0,2.03,0.01,"18-24, Female",New Visitor,2023-01-27
1092.0,701.0,3.9,49.71,2.0,4.13,Car Configurator,dealer-search.dealer-1,4.11,tda.skoda-model-2,rfo.skoda-model-1,5.32,2.86,199.0,18.0,4.8,car pricing,39.94,98.0,3.6,0.03,"25-34, Male",Returning Visitor,2023-01-08
1224.0,800.0,7.22,20.7,5.0,4.11,Dealer Search,brandportal.finish,3.09,tda.skoda-model-2,rfo.skoda-model-2,2.95,3.8,96.0,14.0,4.9,car pricing,49.4,96.0,3.76,0.07,"35-44, Female",Frequent Buyer,2023-01-14
1406.0,749.0,8.08,40.93,5.0,1.04,Dealer Search,dealer-search.finish,4.49,tda.skoda-model-2,rfo.skoda-model-2,9.91,4.58,155.0,24.0,4.4,dealership locations,30.03,95.0,1.44,0.05,"25-34, Male",New Visitor,2023-01-08
1104.0,1073.0,5.3,68.07,1.0,3.48,Dealer Search,car-configurator.finish,3.53,tda.skoda-model-2,rfo.skoda-model-1,7.74,1.91,197.0,27.0,3.1,new car models,40.21,79.0,3.96,0.04,"35-44, Female",Frequent Buyer,2023-01-24
1482.0,959.0,3.22,21.94,1.0,4.94,Inventory Check,dealer-search.dealer-1,4.96,tda.skoda-model-1,rfo.skoda-model-2,7.82,3.8,194.0,17.0,3.8,car pricing,27.24,43.0,1.59,0.03,"25-34, Male",New Visitor,2023-01-16
1406.0,710.0,8.26,65.3,1.0,1.24,Car Configurator,brandportal.finish,2.43,tda.skoda-model-3,rfo.skoda-model-1,6.51,4.65,110.0,19.0,3.3,dealership locations,49.48,73.0,3.24,0.08,"25-34, Male",New Visitor,2023-01-07
974.0,1072.0,4.44,41.21,2.0,1.78,Inventory Check,dealer-search.dealer-2,2.75,tda.skoda-model-3,rfo.skoda-model-2,7.32,1.97,163.0,25.0,3.8,car pricing,32.32,85.0,1.49,0.02,"25-34, Male",New Visitor,2023-01-20
980.0,714.0,5.26,35.46,2.0,3.11,Inventory Check,dealer-search.dealer-2,1.21,tda.skoda-model-3,rfo.skoda-model-1,1.89,4.59,125.0,27.0,3.4,new car models,46.06,43.0,2.77,0.09,"35-44, Female",Frequent Buyer,2023-01-01
1491.0,784.0,7.43,69.36,1.0,2.06,Car Configurator,dealer-search.dealer-2,3.4,tda.skoda-model-2,rfo.skoda-model-1,8.94,4.12,140.0,21.0,4.9,car pricing,49.58,56.0,2.17,0.07,"35-44, Female",Returning Visitor,2023-01-12
1028.0,735.0,7.5,53.31,2.0,2.81,Car Configurator,dealer-search.dealer-2,4.61,tda.skoda-model-2,rfo.skoda-model-1,8.65,2.13,151.0,11.0,3.3,dealership locations,33.99,70.0,2.32,0.05,"25-34, Male",New Visitor,2023-01-10
800.0,959.0,5.13,27.64,4.0,2.26,Dealer Search,car-configurator.start,2.87,tda.skoda-model-3,rfo.skoda-model-3,1.09,0.66,91.0,28.0,3.6,dealership locations,20.36,69.0,2.21,0.07,"25-34, Male",Returning Visitor,2023-01-12
1146.0,706.0,6.95,42.76,5.0,1.1,Brandportal,car-configurator.start,1.99,tda.skoda-model-3,rfo.skoda-model-1,1.49,2.29,173.0,18.0,3.1,dealership locations,23.05,99.0,3.07,0.03,"25-34, Male",Frequent Buyer,2023-01-28
1013.0,839.0,3.26,67.56,2.0,2.76,Car Configurator,brandportal.skoda-model-2,1.1,tda.skoda-model-3,rfo.skoda-model-2,1.88,2.76,177.0,16.0,4.3,dealership locations,45.17,76.0,1.89,0.07,"25-34, Male",Frequent Buyer,2023-01-08
1409.0,819.0,6.04,37.31,5.0,1.24,Brandportal,inventory-check.skoda-model-1,2.51,tda.skoda-model-3,rfo.skoda-model-3,2.3,1.14,74.0,19.0,4.9,new car models,26.13,52.0,3.51,0.03,"25-34, Male",New Visitor,2023-01-21
1310.0,928.0,4.63,59.26,1.0,1.71,Dealer Search,inventory-check.skoda-model-1,1.15,tda.skoda-model-3,rfo.skoda-model-2,9.02,2.8,171.0,24.0,3.5,dealership locations,32.5,78.0,3.04,0.03,"35-44, Female",New Visitor,2023-01-29
828.0,727.0,9.74,58.15,3.0,1.0,Dealer Search,inventory-check.skoda-model-1,4.82,tda.skoda-model-3,rfo.skoda-model-3,8.59,4.96,177.0,28.0,4.7,car pricing,33.64,71.0,2.37,0.06,"35-44, Female",Returning Visitor,2023-01-23
1437.0,890.0,3.87,62.14,2.0,1.78,Brandportal,inventory-check.booking,1.98,tda.skoda-model-3,rfo.skoda-model-3,2.54,2.43,183.0,11.0,4.9,dealership locations,37.81,74.0,1.46,0.05,"25-34, Male",Frequent Buyer,2023-01-24
1102.0,1137.0,9.13,63.84,2.0,3.77,Brandportal,car-configurator.step-2,2.46,tda.skoda-model-3,rfo.skoda-model-3,5.28,3.21,160.0,21.0,3.8,car pricing,38.93,82.0,3.49,0.05,"35-44, Female",Frequent Buyer,2023-01-02
1364.0,1018.0,6.88,48.33,4.0,3.39,Brandportal,dealer-search.dealer-1,4.72,tda.skoda-model-2,rfo.skoda-model-2,8.18,0.93,182.0,11.0,3.2,dealership locations,21.63,98.0,2.25,0.02,"25-34, Male",Frequent Buyer,2023-01-04
1183.0,1128.0,9.89,68.19,3.0,1.71,Car Configurator,car-configurator.step-1,4.02,tda.skoda-model-2,rfo.skoda-model-2,3.13,2.15,101.0,23.0,3.8,dealership locations,21.32,53.0,3.22,0.01,"25-34, Male",Returning Visitor,2023-01-04
1150.0,1192.0,9.95,25.13,1.0,1.24,Car Configurator,inventory-check.skoda-model-2,4.15,tda.skoda-model-3,rfo.skoda-model-2,3.32,4.92,162.0,20.0,4.7,dealership locations,26.64,66.0,1.4,0.07,"35-44, Female",New Visitor,2023-01-08
917.0,809.0,5.54,52.19,2.0,3.56,Inventory Check,brandportal.skoda-model-2,4.42,tda.skoda-model-3,rfo.skoda-model-1,1.4,3.23,106.0,20.0,4.8,car pricing,25.18,53.0,1.41,0.08,"18-24, Female",Frequent Buyer,2023-01-01
1254.0,1113.0,6.53,24.97,1.0,2.75,Car Configurator,car-configurator.step-1,1.02,tda.skoda-model-3,rfo.skoda-model-1,5.98,4.28,143.0,9.0,3.7,car pricing,36.0,55.0,1.78,0.04,"25-34, Male",Frequent Buyer,2023-01-22
944.0,1173.0,8.43,36.99,4.0,2.94,Car Configurator,brandportal.skoda-model-2,2.83,tda.skoda-model-1,rfo.skoda-model-3,3.68,2.84,114.0,24.0,4.6,dealership locations,20.07,50.0,1.8,0.07,"35-44, Female",New Visitor,2023-01-22
1142.0,831.0,6.44,26.49,1.0,1.74,Dealer Search,brandportal.finish,4.83,tda.skoda-model-3,rfo.skoda-model-2,7.47,1.24,101.0,7.0,4.3,new car models,30.66,63.0,2.59,0.01,"25-34, Male",Frequent Buyer,2023-01-19
923.0,873.0,4.41,45.36,2.0,2.91,Inventory Check,car-configurator.start,2.81,tda.skoda-model-2,rfo.skoda-model-1,2.39,3.06,190.0,7.0,4.2,car pricing,37.04,56.0,3.66,0.03,"18-24, Female",Returning Visitor,2023-01-06
1273.0,839.0,5.16,48.84,2.0,3.53,Car Configurator,car-configurator.finish,4.18,tda.skoda-model-3,rfo.skoda-model-2,2.94,0.73,68.0,22.0,3.5,dealership locations,43.04,57.0,2.28,0.02,"18-24, Female",Frequent Buyer,2023-01-10
1079.0,1178.0,6.03,61.38,2.0,3.17,Dealer Search,car-configurator.finish,2.29,tda.skoda-model-3,rfo.skoda-model-3,3.61,3.54,174.0,13.0,4.8,new car models,42.63,77.0,2.56,0.01,"35-44, Female",New Visitor,2023-01-27
1313.0,947.0,6.52,64.51,2.0,4.95,Dealer Search,inventory-check.booking,1.76,tda.skoda-model-1,rfo.skoda-model-2,9.37,2.7,188.0,24.0,3.8,dealership locations,34.59,43.0,1.95,0.07,"18-24, Female",Frequent Buyer,2023-01-06
906.0,896.0,6.06,47.58,4.0,2.36,Inventory Check,brandportal.skoda-model-1,1.38,tda.skoda-model-2,rfo.skoda-model-1,8.14,2.32,111.0,19.0,3.0,dealership locations,42.24,74.0,3.52,0.03,"25-34, Male",Returning Visitor,2023-01-13
1096.0,912.0,5.63,27.63,2.0,4.23,Brandportal,dealer-search.finish,3.48,tda.skoda-model-2,rfo.skoda-model-1,2.28,2.25,55.0,29.0,4.4,new car models,24.0,51.0,3.64,0.01,"35-44, Female",Returning Visitor,2023-01-29
1364.0,840.0,8.68,21.35,3.0,1.8,Inventory Check,inventory-check.booking,1.61,tda.skoda-model-2,rfo.skoda-model-1,1.11,1.45,163.0,13.0,4.1,dealership locations,28.28,53.0,1.44,0.02,"25-34, Male",New Visitor,2023-01-08
1477.0,938.0,9.06,63.04,4.0,4.45,Inventory Check,dealer-search.dealer-1,4.71,tda.skoda-model-1,rfo.skoda-model-2,4.64,4.24,106.0,17.0,4.4,dealership locations,23.26,47.0,3.76,0.04,"25-34, Male",Frequent Buyer,2023-01-12
1223.0,762.0,5.19,25.65,3.0,2.91,Brandportal,dealer-search.finish,2.21,tda.skoda-model-2,rfo.skoda-model-3,2.73,4.83,192.0,29.0,4.4,car pricing,34.9,51.0,3.36,0.02,"35-44, Female",Frequent Buyer,2023-01-23
994.0,858.0,4.45,32.86,2.0,2.47,Car Configurator,brandportal.skoda-model-1,4.39,tda.skoda-model-1,rfo.skoda-model-2,6.64,1.55,57.0,25.0,5.0,car pricing,46.41,69.0,3.67,0.05,"25-34, Male",Frequent Buyer,2023-01-24
808.0,927.0,9.5,21.96,4.0,2.53,Car Configurator,brandportal.skoda-model-2,4.29,tda.skoda-model-1,rfo.skoda-model-1,7.59,1.68,121.0,8.0,4.0,dealership locations,48.15,91.0,3.62,0.03,"35-44, Female",Returning Visitor,2023-01-15
1071.0,1118.0,7.21,28.17,3.0,1.14,Brandportal,car-configurator.finish,4.13,tda.skoda-model-1,rfo.skoda-model-3,1.87,2.66,198.0,11.0,4.6,dealership locations,43.84,81.0,3.89,0.05,"35-44, Female",Returning Visitor,2023-01-13
1234.0,735.0,8.07,31.32,3.0,1.34,Brandportal,inventory-check.skoda-model-1,2.94,tda.skoda-model-1,rfo.skoda-model-1,8.39,4.06,106.0,12.0,3.6,car pricing,33.38,40.0,1.58,0.09,"25-34, Male",Frequent Buyer,2023-01-27
1054.0,958.0,5.6,55.78,4.0,3.56,Inventory Check,dealer-search.dealer-2,2.58,tda.skoda-model-3,rfo.skoda-model-1,5.22,3.36,192.0,17.0,3.5,car pricing,35.18,53.0,3.07,0.04,"35-44, Female",Frequent Buyer,2023-01-15
1091.0,837.0,8.83,66.58,2.0,3.1,Brandportal,inventory-check.skoda-model-1,1.79,tda.skoda-model-1,rfo.skoda-model-1,2.56,2.37,162.0,11.0,3.9,car pricing,44.73,67.0,1.4,0.06,"25-34, Male",New Visitor,2023-01-12
1324.0,760.0,8.27,51.31,2.0,1.0,Brandportal,dealer-search.finish,1.35,tda.skoda-model-1,rfo.skoda-model-2,9.25,2.54,136.0,6.0,5.0,dealership locations,49.91,51.0,2.04,0.07,"18-24, Female",Frequent Buyer,2023-01-12
1379.0,995.0,5.0,23.67,2.0,1.34,Car Configurator,dealer-search.finish,4.37,tda.skoda-model-1,rfo.skoda-model-2,5.73,1.59,118.0,8.0,4.4,new car models,44.55,100.0,3.96,0.05,"35-44, Female",Frequent Buyer,2023-01-21
977.0,1184.0,5.48,56.12,5.0,3.13,Brandportal,brandportal.finish,1.53,tda.skoda-model-3,rfo.skoda-model-3,5.36,3.53,66.0,9.0,4.9,new car models,29.36,66.0,1.25,0.04,"18-24, Female",New Visitor,2023-01-17
1094.0,960.0,8.91,28.34,3.0,1.58,Inventory Check,dealer-search.dealer-2,1.07,tda.skoda-model-3,rfo.skoda-model-3,8.0,2.61,163.0,28.0,4.8,car pricing,35.71,41.0,3.03,0.07,"18-24, Female",Frequent Buyer,2023-01-19
1105.0,829.0,4.49,42.93,2.0,3.63,Dealer Search,car-configurator.finish,4.28,tda.skoda-model-1,rfo.skoda-model-2,6.36,1.11,155.0,15.0,3.8,dealership locations,34.61,47.0,2.32,0.1,"35-44, Female",New Visitor,2023-01-29
814.0,1094.0,5.61,26.9,3.0,2.85,Brandportal,dealer-search.finish,2.6,tda.skoda-model-1,rfo.skoda-model-3,6.97,0.74,138.0,28.0,4.4,dealership locations,29.26,49.0,3.89,0.01,"25-34, Male",Returning Visitor,2023-01-05
982.0,926.0,9.25,43.99,3.0,1.97,Inventory Check,inventory-check.skoda-model-2,1.74,tda.skoda-model-1,rfo.skoda-model-2,8.84,4.08,151.0,10.0,3.8,car pricing,49.95,51.0,3.68,0.06,"35-44, Female",Frequent Buyer,2023-01-14
1127.0,960.0,5.96,59.31,3.0,2.17,Car Configurator,brandportal.skoda-model-1,4.79,tda.skoda-model-2,rfo.skoda-model-3,6.8,0.7,57.0,11.0,4.6,new car models,45.5,66.0,1.58,0.03,"18-24, Female",New Visitor,2023-01-20
1500.0,745.0,3.34,56.33,2.0,3.66,Inventory Check,brandportal.skoda-model-1,1.66,tda.skoda-model-3,rfo.skoda-model-3,6.19,4.65,121.0,7.0,3.8,car pricing,34.84,79.0,3.12,0.02,"25-34, Male",Frequent Buyer,2023-01-04
1076.0,884.0,9.81,35.46,1.0,1.86,Dealer Search,brandportal.finish,1.18,tda.skoda-model-1,rfo.skoda-model-2,6.94,0.7,170.0,22.0,3.5,car pricing,25.94,56.0,3.78,0.04,"25-34, Male",Returning Visitor,2023-01-19
1332.0,886.0,7.67,61.35,4.0,4.24,Inventory Check,car-configurator.step-2,4.67,tda.skoda-model-1,rfo.skoda-model-3,6.63,0.71,155.0,27.0,3.6,dealership locations,23.77,44.0,2.49,0.02,"25-34, Male",New Visitor,2023-01-23
1131.0,737.0,7.98,30.83,4.0,1.12,Car Configurator,inventory-check.booking,4.62,tda.skoda-model-1,rfo.skoda-model-1,2.06,3.9,81.0,9.0,3.3,dealership locations,30.05,99.0,3.42,0.09,"25-34, Male",Frequent Buyer,2023-01-16
1349.0,925.0,3.26,34.09,1.0,1.25,Brandportal,dealer-search.dealer-1,4.96,tda.skoda-model-1,rfo.skoda-model-1,3.32,2.12,187.0,28.0,3.3,car pricing,44.78,71.0,3.36,0.06,"18-24, Female",Returning Visitor,2023-01-26
837.0,988.0,5.56,34.81,2.0,2.8,Dealer Search,inventory-check.skoda-model-1,4.41,tda.skoda-model-1,rfo.skoda-model-3,5.79,4.35,131.0,5.0,3.6,dealership locations,35.92,48.0,2.52,0.08,"25-34, Male",Returning Visitor,2023-01-14
804.0,1159.0,6.07,45.16,4.0,3.17,Car Configurator,brandportal.finish,1.07,tda.skoda-model-3,rfo.skoda-model-2,5.26,3.75,136.0,27.0,3.3,car pricing,43.66,90.0,1.1,0.02,"25-34, Male",New Visitor,2023-01-04
1221.0,948.0,7.17,42.18,3.0,4.67,Dealer Search,inventory-check.booking,1.62,tda.skoda-model-3,rfo.skoda-model-3,1.94,3.01,154.0,29.0,4.8,new car models,49.18,94.0,2.2,0.07,"25-34, Male",Returning Visitor,2023-01-26
1048.0,1153.0,6.3,43.5,4.0,3.13,Car Configurator,dealer-search.dealer-2,2.79,tda.skoda-model-2,rfo.skoda-model-3,8.46,3.39,106.0,21.0,3.3,dealership locations,21.09,78.0,3.49,0.06,"18-24, Female",Returning Visitor,2023-01-21
1100.0,771.0,8.98,31.6,4.0,4.47,Inventory Check,brandportal.skoda-model-2,3.25,tda.skoda-model-2,rfo.skoda-model-3,4.58,3.77,150.0,17.0,4.5,car pricing,34.06,85.0,3.54,0.08,"18-24, Female",New Visitor,2023-01-06
1040.0,986.0,7.98,25.43,1.0,2.22,Car Configurator,brandportal.skoda-model-1,1.82,tda.skoda-model-2,rfo.skoda-model-1,4.54,3.33,157.0,24.0,3.7,new car models,32.51,68.0,2.46,0.03,"18-24, Female",Frequent Buyer,2023-01-15
